datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,375.8,413.0,370.2,373.0,373476071,145557094192,0
2020-02-29,378.0,420.0,369.6,386.0,388225901,155082210048,0
2020-03-31,384.6,406.8,325.2,380.2,767735662,281549768704,0
2020-04-30,383.6,419.6,369.6,417.0,344548814,137133478656,0
2020-05-31,408.8,447.0,400.0,410.4,461947459,194537912320,0
2020-06-30,419.4,505.0,419.2,498.6,461371190,210014952960,0
2020-07-31,503.0,564.0,503.0,534.0,483346006,258430762752,0
2020-08-31,536.0,564.0,499.4,530.5,469228648,247885057536,0
2020-09-30,537.5,555.0,501.5,511.5,335247112,174445632768,0
2020-10-31,530.0,614.0,521.5,591.0,284693237,161210462144,0
2020-11-30,593.0,633.0,551.0,563.0,485618319,285734952192,0
2020-12-31,573.0,593.0,519.0,564.0,402274849,226626420992,0
2021-01-31,558.0,767.5,557.5,681.5,640067441,418647659008,0
2021-02-28,698.0,775.5,662.5,662.5,410259279,297282244096,0
2021-03-31,692.0,723.0,588.5,610.0,564843396,365492777984,0
2021-04-30,627.5,658.0,603.0,623.0,581149078,357013261824,0
2021-05-31,619.5,625.0,566.5,619.0,382977157,229474623136,0
2021-06-30,619.0,640.0,571.5,584.0,319871272,191412686848,0
2021-07-31,598.5,598.5,422.0,479.0,831516372,421846408192,0
2021-08-31,476.0,493.0,412.2,481.2,888469899,402444556800,0
2021-09-30,485.0,529.0,443.2,461.4,555230634,266718749696,0
2021-10-31,470.0,515.0,445.4,481.0,325290495,159095361024,0
2021-11-30,476.4,509.0,449.0,459.4,505901348,241121421056,0
2021-12-31,462.6,481.0,429.0,456.8,397104178,181186379520,0
2022-01-31,459.8,486.0,421.0,472.0,409316223,187961854592,0
2022-02-28,483.0,488.0,414.4,421.2,366877443,167393867520,0
2022-03-31,421.2,439.0,297.0,374.2,951614869,349885959680,0
2022-04-30,367.0,391.0,325.2,377.4,396316513,141795077008,0
2022-05-31,379.0,384.8,330.0,362.4,523342151,184149311232,0
2022-06-30,362.0,406.8,353.8,354.4,568117466,212799779328,0
2022-07-31,354.4,357.2,305.0,306.8,404917763,135611847808,0
2022-08-31,302.0,334.6,288.0,327.2,457025329,140592549104,0
2022-09-30,327.0,333.6,263.6,266.4,418890622,124092340064,0
2022-10-31,264.0,282.6,198.6,205.6,661987588,152404902608,0
2022-11-30,207.8,302.8,207.8,287.2,919010231,241177419520,0
2022-12-31,298.0,343.8,291.6,334.0,574795132,181571320064,0
2023-01-31,334.0,416.6,328.8,382.2,529867494,196955577344,0
2023-02-28,385.6,397.2,342.8,343.6,454580578,169574175488,0
2023-03-31,347.4,397.6,330.4,385.8,577585144,207651320320,0
2023-04-30,389.0,391.0,333.0,344.4,317397609,114228697056,0
2023-05-31,352.0,354.4,306.0,310.6,408855321,135379125136,0
2023-06-30,312.6,364.4,311.2,331.6,409734819,139478332672,0
2023-07-31,331.8,363.0,320.0,354.4,383661840,130305129232,0
2023-08-31,356.0,361.0,314.4,325.0,432675951,143351655728,0
2023-09-30,330.0,335.0,296.4,306.2,306079102,96316367136,0
2023-10-31,302.0,317.2,282.6,289.2,284226746,84794773376,0
2023-11-30,288.8,332.6,284.4,327.0,402587439,127218328752,0
2023-12-31,324.8,325.8,263.6,293.6,511578371,151184197008,0
2024-01-31,300.0,305.0,260.2,270.6,526884856,148605890048,0
2024-02-29,270.0,297.0,268.0,277.2,362490936,103095950096,0
2024-03-31,273.0,309.6,265.8,303.8,476659405,136761826448,0
2024-04-30,309.0,354.8,297.8,347.2,482030561,154884976704,0
2024-05-31,349.0,401.0,345.4,359.8,522995241,197446589696,0
2024-06-30,366.8,392.0,366.6,372.4,350611692,132812770048,0
2024-07-31,367.0,397.2,351.0,362.2,383307246,142815714688,0
2024-08-31,363.8,385.6,349.0,382.0,358965261,133169937424,0
2024-09-30,380.0,457.4,365.0,444.6,468957532,190109063472,0
2024-10-31,450.0,482.4,404.6,404.6,544216461,239312925696,0
2024-11-30,406.0,436.0,392.0,398.0,419599253,171288779776,0
2024-12-31,398.0,431.0,394.4,417.0,384237923,158784240848,0
2025-01-31,417.0,425.0,364.8,401.2,695696612,266118379264,0
2025-02-28,400.0,522.0,394.2,478.6,968130972,458325396736,0
2025-03-31,483.6,547.0,473.2,497.0,692885268,358241918208,0
2025-04-30,501.0,511.5,419.0,477.2,668932076,305195789824,0
2025-05-31,478.2,532.0,477.4,498.2,414116318,210472555520,0
2025-06-30,493.0,521.0,489.6,503.0,340066355,172923040000,0
2025-07-31,508.0,560.0,493.0,550.0,410630030,215199018752,0
2025-08-31,551.5,621.0,533.0,596.5,419739503,244927219712,0
2025-09-30,605.0,666.5,591.0,663.0,410673611,260500161024,0
2025-10-31,667.5,683.0,602.5,629.0,331344027,212744139264,0
2025-11-30,630.5,662.0,606.0,611.5,309499401,195163279616,0
2025-12-31,613.5,626.0,592.0,599.0,294620324,178496049152,0
2026-01-31,600.5,638.5,600.5,611.0,118250344,73474001664,0
